slug,ingredient_name,amount,unit,daily_value_pct,form,is_proprietary_blend,blend_name
nato-k,Nattokinase,100,mg,,"2,000 Fibrinolytic Units",FALSE,
nitrox,L-Citrulline,3,g,,,FALSE,
nitrox,Grape Seed Extract,200,mg,,MegaNatural®-BP,FALSE,
nitrox,Quercetin Dihydrate,200,mg,,,FALSE,
omega-capsules,Calories,15,,,,FALSE,
omega-capsules,Total Fat,1.5,g,2,,FALSE,
omega-capsules,Cholesterol,<5,mg,<2,,FALSE,
omega-capsules,Total Omega-3s,950,mg,,as Triglycerides,FALSE,
omega-capsules,EPA (Eicosapentaenoic Acid),430,mg,,,FALSE,
omega-capsules,DHA (Docosahexaenoic Acid),390,mg,,,FALSE,
omega-capsules,Other Omega-3s,130,mg,,,FALSE,
omega-capsules,DPA (Docosapentaenoic Acid),50,mg,,,FALSE,
optiboost-multi,Vitamin A,"1,500",mcg,167,"from 5,000 IU as Natural Beta Carotene",FALSE,
optiboost-multi,Vitamin C,250,mg,278,as Ascorbic Acid USP,FALSE,
optiboost-multi,Vitamin D3,25,mcg,"1,232",as Cholecalciferol USP,FALSE,
optiboost-multi,Vitamin E,50,IU,"1,232",as mixed Tocopherols USP,FALSE,
optiboost-multi,Thiamin (Vitamin B1),15,mg,"1,250",from Thiamine Hydrochloride USP,FALSE,
optiboost-multi,Riboflavin (Vitamin B2 USP),15,mg,"1,154",,FALSE,
optiboost-multi,Niacin,15,mg,94,as Niacinamide USP,FALSE,
optiboost-multi,Vitamin B6,18,mg,,,FALSE,
optiboost-multi,Folate,"1,360",mcg DFE,"3,400",from 800 mcg as L-Methylfolate and Methylfolate/L-Methylfolate,FALSE,
optiboost-multi,Vitamin B12,250,mcg,"10,417",as Methylcobalamin,FALSE,
optiboost-multi,Pantothenic Acid,15,mg,300,as D-Calcium Pantothenate USP,FALSE,
optiboost-multi,Choline,15,mg,3,as Choline Bitartrate,FALSE,
optiboost-multi,Calcium,75,mg,6,as Calcium Citrate USP and Calcium Pantothenate USP,FALSE,
optiboost-multi,Iodine,37,mcg,25,from Potassium Iodide,FALSE,
optiboost-multi,Magnesium,75,mg,18,as D-Magnesium Malate,FALSE,
optiboost-multi,Zinc,5,mg,45,as Zinc Bisglycinate Chelate,FALSE,
optiboost-multi,Selenium,75,mcg,136,as Albion® Selenium Glycinate Complex,FALSE,
optiboost-multi,Manganese,1,mg,43,as Albion® Manganese Bisglycinate Chelate,FALSE,
optiboost-multi,Chromium,50,mcg,143,as D-Picolinate ChromeMate®,FALSE,
optiboost-multi,Sodium,20,mg,1,,FALSE,
optiboost-multi,Potassium,30,mg,<1,as Potassium Citrate USP,FALSE,
optiboost-multi,Alpha Lipoic Acid,200,mg,,as R-Lipoic Acid,FALSE,
optiboost-multi,Mixed Tocopherols,50,mg,,,FALSE,
optiboost-multi,Green Tea Leaf Extract,50,mg,,Standardized to contain 95% EGCg [epigallocatechin gallate],FALSE,
optiboost-multi,Broccoli Seed Extract,5,mg,,TrueBroc® Standardized to contain 13% Glucoraphanin,FALSE,
optiboost-multi,Inositol NF,10,mg,,,FALSE,
optiboost-multi,trans-Resveratrol,10,mg,,,FALSE,
pregnenolone,Pregnenolone,10,mg,,,FALSE,
probiotic-100,Calories,5,,,,FALSE,
probiotic-100,Total Carbohydrate,<1,g,<1,,FALSE,
probiotic-100,Sodium,5,mg,<1,,FALSE,
probiotic-100,Potassium,95,mg,2,,FALSE,
probiotic-100,Probiotic Proprietary Blend,423,mg,,100 Billion CFU,TRUE,Proprietary Blend
probiotic-100,Lactobacillus acidophilus (La-14),,,,,TRUE,Proprietary Blend
probiotic-100,Bifidobacterium bifidum (Bb-02),,,,,TRUE,Proprietary Blend
probiotic-100,Lactobacillus rhamnosus (GG),,,,,TRUE,Proprietary Blend
probiotic-100,Bifidobacterium lactis (Bl-04),,,,,TRUE,Proprietary Blend
probiotic-100,Lactobacillus plantarum (Lp-115),,,,,TRUE,Proprietary Blend
probiotic-100,Lactobacillus paracasei (Lpc-37),,,,,TRUE,Proprietary Blend
protein-1,Calories,100,,,,FALSE,
protein-1,Total Fat,1.5,g,2,,FALSE,
protein-1,Saturated Fat,0.5,g,3,,FALSE,
protein-1,Cholesterol,<5,mg,<2,,FALSE,
protein-1,Total Carbohydrate,3,g,1,,FALSE,
protein-1,Dietary Fiber,1,g,4,,FALSE,
protein-1,Protein,21,g,14,,FALSE,
